title,text
Bootleg liquor claims more lives in Bekasi,"Five residents of Kodau Ambara Pura housing complex in Jatiasih, Bekasi, have reportedly died after drinking oplosan (bootleg liquor). The victims have been identified as Emo or Imron, 47, Alvian or Pokin, 52, Yopi, 45, Mambo or Hermadi, 58, and Heri Bayo, 57. \""My brother died on Thursday evening,\"" said Hermadi's brother, Suryadi, as quoted by tribunnews.com on Friday. The five were close friends, Suryadi said, adding that the group might have drunk together last week after getting bootleg liquor for free from a man named Untung. Imron was the first to die on April 13 after suffering from severe stomach pains and respiratory problems. Alvian and Yopi died five days later. \""[Other residents and I] started suspecting that it was the bootleg liquor that had killed them, because we knew they all drank together last week,\"" Suryadi explained. Jatiasih Police chief Comr. Illi Anas said that his team is investigating the case. \""We're attempting to gather as much information,\"" Illi said."
Pertamina increases Pertalite gasoline price,"State-owned energy company Pertamina increased the price of Pertalite-branded gasoline to Rp 7,800 (55 US cents) per liter on Saturday, Rp 200 higher than the previous price. The 90 RON gasoline has become a widely used alternative for customers typically preferring the subsidized Premium brand, such as drivers of public transportation minivans and motorcyclists, because gas stations in Greater Jakarta frequently run out of Premium stocks. The new price is for gas stations in Java, Bali, Nusa Tenggara, Aceh, North Sumatra and West Sumatra, while Pertalite is sold at Rp 8,150 per liter in Riau and Riau Islands and at Rp 8,000 per liter in other Sumatra provinces. The fuel also costs Rp 8,000 in Kalimantan, Sulawesi, Maluku and Papua. Pertamina regional marketing operation I (MOR I) spokesman Rudi Arifianto said in Riau's provincial capital of Pekanbaru on Sunday that the company had to increase the price because of the increasing global crude oil prices and the weakening of the rupiah against the US dollar. \""Fuel is a global commodity where we cannot control the price. If the global oil price declines and the rupiah exchange rate strengthens, we will revise down the price,\"" he said, as reported by Antara. On Feb. 24, Pertamina increased the prices of several other non-subsidized fuels. The price of Pertamax per liter was increased to Rp 8,900 (62 US cents) from Rp 8,600, while the price of Pertamax Turbo per liter was increased to Rp 10,000 from Rp 9,600. The price of Pertamina Dex per liter was raised to Rp 10,000 from Rp 9,250 and the price of Dexlite per liter to Rp 8,100 from Rp 7,500."
Garuda prepares additional flights for IMF-World Bank meetings,"Jakarta: National flag carrier Garuda Indonesia is preparing additional flights to deal with an anticipated increase in passengers to Denpasar, Bali, ahead of the International Monetary Fund (IMF) and World Bank annual meetings in Bali in October. \""Our current capacity is enough to handle [an influx of passengers],\"" Garuda Indonesia president director Pahala N. Mansury said in Denpasar on Saturday as reported by Antara. He said the airline was in talks with the government about opening additional flights to Bali, especially routes from cities in Northeast Asian countries. Garuda is also preparing to modify several flights to Bali. \""Some routes, such as Shanghai-Jakarta, Beijing-Jakarta, might still be needed, but we can reroute them to make them stop in Denpasar first before they head to Jakarta,\"" Pahala said. He also said the company was ready to assist meeting delegations looking to visit Indonesian tourist sites after the IMF-World Bank meetings, adding that the airline had 202 Garuda and Citilink airplanes. Tourism Minister Arief Yahya previously said that flights the week before and after the meetings had been fully booked and he believed airlines would be ready to handle an increase in air traffic to Bali. The IMF-World Bank annual meetings are scheduled to take place from Oct. 8 to 14 at the Bali Nusa Dua Convention Center. Some 15,000 delegations comprising state leaders, financial ministers, central bank governors, businesses and academics from 189 countries will attend the event."
11 foreign ambassadors submit letters of credence to Jokowi,"President Joko \""Jokowi\"" Widodo received letters of credence from 11 new foreign ambassadors at the State Palace on Wednesday that symbolize the beginning of their official duties in Indonesia. Seven of out of the 11 envoys are resident ambassadors. They are Australian Ambassador Gary Francis Quinlan, Russian Ambassador Lyudmila Georgievna Vorobieva, South Korean Ambassador Kim Chang-boem, Bahraini Ambassador Mohamed Ghassan Mohamed Adnan Shaikho, Georgian Ambassador Irakli Asashvili, Fijian Ambassador Selima Dikawakawayali Veisamasama and Polish Ambassador Beata Stoczynska. Meanwhile, the four others are non-resident ambassadors. They comprise Uganda Ambassador Dorothy Samali Hyuha, Gambian Ambassador Ramzia Diab Ghanim, Latvian Ambassador Penke Normans and Cote d'Ivoire Ambassador Jeanne Guehe. Following their letters of credence submissions, President Jokowi, accompanied by Foreign Minister Retno LP Marsudi, invited each of them to discuss bilateral issues. The President held separate talks that lasted several minutes with each ambassador. \""In general, the President said during his discussion with each ambassador that economic cooperation with their countries were a priority for Indonesia,\"" Retno said after the meeting."
Traffic accident claims 'ojek' drivers life,"An ojek (motorcycle taxi) driver, Abdul Latif, died after being hit by a car on Jl. Yos Sudarso in Plumpang, North Jakarta, on Wednesday evening. According to the North Jakarta traffic police, the car hit the ojek after overtaking a container truck. Adj. Comr. Sigit Purwanto, the chief of the North Jakarta traffic police, said the accident occurred because of a lack of concentration by the driver of the car. Abdul died instantly on the scene as he suffered severe injuries. His body was taken to Cipto Mangunkusumo Hospital in Central Jakarta. The police are still questioning witnesses. Previously, another ojek driver was badly injured after being hit by a BMW car driven by a woman named Tiara Ayu Fauziah in Harmoni, Central Jakarta,on Monday. The police said Tiara was under the influence of alcohol while driving the car."""
It's official: Prabowo to join 2019 race,"Gerindra Party chairman and chief patron Prabowo Subianto accepted his party's mandate to run for the presidency at its national coordination meeting in Hambalang, West Java, on Wednesday.His decision ended speculation over whether he was considering sitting the election out to endorse another candidate in the 2019 race. It also increased the likelihood that the upcoming election sees a rematch between the former commander of the Army's Special Forces and President Joko \""Jokowi\"" Widodo.\""As the party's mandatary, as the holder of your mandate [...] I declare that I have submitted and complied with your decision,\"" Prabowo said in a video of the closed-door meeting provided by a Gerindra politician.Earlier in the day, the opposition leader made it clear that he would only contest the election if the party built a strong alliance with other parties.Arriving to the meeting's main stage on horseback, to the strains of a brassy rendition of traditional marching song \""The British Grenadiers\"", Prabowo cut an imposing figure in Gerindra's trademark white shirt, khaki pants, and black peci fez.\""With all my energy, body and soul, if Gerindra orders me to run in the upcoming presidential election, I am ready to carry out that task,\"" he said, according to a Gerindra politician that was present, to the applause of the party members in attendance, who broke out in chants of \""Prabowo, president!\""Prabowo cut off the chanting, however, and asked for patience.\""I said 'if', 'if the party orders me,'\"" he said. \""There is one condition. Even if the party orders me [to run], I need the support of friendly parties.\"" Over the past few weeks, Prabowo has seemed hesitant over whether to run against President Jokowi again.Maksimus Ramses Lalongkoe, the executive director of the Institute of Indonesian Political Analysis, said Prabowo's apparent hesitation rested mostly on the lack of a clear coalition backing his candidacy.The 2017 Elections Law specifies that political parties seeking to nominate a presidential candidate are required to secure at least 20 percent of seats at the House of Representatives or 25 percent of the popular vote.Gerindra currently holds only 13 percent of House seats and 11.81 percent of the popular vote, which means it needs to join forces with other parties to be able to nominate Prabowo or any other potential candidate.Four parties with significant vote shares have yet to officially back a candidate: the National Mandate Party (PAN), the Prosperous Justice Party (PKS), the National Awakening Party (PKB) and the Democratic Party (PD).PAN and the PKS have worked together with Gerindra in recent times, most notably during the contentious Jakarta gubernatorial election last year.A Gerindra official has said that Prabowo might declare his candidacy in Banyumas, Central Java, should the party secure the support of PAN and the PKS.However, PAN seems reluctant about unequivocally endorsing Prabowo, with its chairman Zulkifli Hasan, who attended the Gerindra meeting, saying that the party had yet to make a decision. \""If the PDI-P [Jokowi's Indonesian Democratic Party of Struggle] invited us, we would also come and speak,\"" he said as quoted by Antara.Gerindra and the PKS have enough seats at the House to nominate Prabowo, but it is likely that Prabowo is seeking more support to match a much bigger political alliance behind Jokowi, who has the backing of five parties.Maksimus said Indonesia's dynamic political landscape meant that parties were still looking to see what moves might give them the edge. \""They're still doing a lot of maneuvering, trying to see if one of their own members has a chance at running,\"" he said.Prabowo has struggled to match Jokowi's electability, which is at 45 to 55 percent, but Maksimus said that such a challenge was unlikely to be the cause of his indecision. \""Electability can change very quickly, Jokowi's electability can be high now, but who knows what it will be like on election day.\""He added that Prabowo had no other choice but to run as other potential candidates, such as former Indonesian Military chief Gatot Nurmantyo and Jakarta Governor Anies Baswedan, would not motivate the party machine in the same way that Prabowo would.Nevertheless, he did not dismiss out of hand the possibility of Prabowo pairing up with erstwhile adversary Jokowi, once again citing the fast-moving nature of Indonesian politics.\""If Prabowo is backed into a corner, then he might well decide to join forces with Jokowi, rather than leave empty-handed.\"""
Minister calls on UNSC to deploy more female peacekeepers,"Foreign Minister Retno Lestari Priansari Marsudi said the United Nations Security Council (UNSC) should deploy more female soldiers to carry out peacekeeping missions. During the UNSC Open Debate in New York on Wednesday, the minister said women peacekeepers could work more effectively to help win the hearts and minds of local people. Speaking after the debate, Retno said after she visited Indonesian soldiers deployed with the UN Interim Force in Lebanon (UNIFIL) earlier this year she could see the influence of female soldiers. \""I witnessed how women peacekeepers could win the hearts and minds of the locals,\"" added Retno who was given the UN Women's Agent of Change Award for gender equality and women's empowerment last year.\n\nIndonesia is currently campaigning to be a UNSC non-permanent member in 2019 and 2020. Indonesia has 2,700 peacekeeping personnel, placing it as one of 10 countries with the largest number of peacekeeping soldiers in the UN. It has set a target of sending 4,000 peacekeeping troops by 2019 as a part of its UNSC non-permanent membership campaign. Indonesia has 1,900 personnel deployed with UNIFIL Of that number, 84 are females, Foreign Ministry data states. (ebf)"
Actress Titi Qadarsih passes away after battle with colon cancer,"Veteran actress Titi Qadarsih passed away on Monday after battling colon cancer. She was 73 years old.""Mama has been sick since the fasting month, when the doctor diagnosed her with stage fourcolon cancer,"" said Indra Q, the late actress's son on Monday, as quoted by kompas.com.Indra said that Titi had been undergoing intensive treatment for the past couple of months, since the diagnosis was made during the fasting month that began in mid-May.""We started the treatment around two months ago. The last two weeks were intensive at Fatmawati Hospital,"" said Indra, who is a BIP band member and Slank's former keyboardist.He said her death came unexpectedly. ""Eating has been a bit difficult. But mama was always agile. We never knew, and she finally passed away like this,"" Indra said.Titi is expected to be buried at Tanah Kusir Cemetery in Kebayoran Lama, South Jakarta. Throughout her life, Titi was known for her diverse skills in the entertainment world, ranging from acting in movies, singing, dancing to modeling.Titi made her debut on the big screen in the 1996 movie Hancurnya Petualang(Destroyed Adventurers). She also joined the stage through Teater Koma and sang a duet with Gombloh. (liz/kes)"
Malea Emma Tjandrawidjaja stuns 'American Idol' judges,"Malea Emma Tjandrawidjaja, the 7-year-old Indonesian prodigy who amazed the crowd at the StubHub Center stadium in Los Angeles back in September, participated in an auditionfor American Idol on Oct. 14in Coeur d'Alene, Idaho. Wearing a dress, Malea stoodbefore the judges  Lionel Richie, Katy Perry and Luke Bryan  accompanied by host Ryan Seacrest. She performed the United States' national anthem \""The Star-Spangled Banner\"" and Aretha Franklin's \""Thinkgarnering praise and standing ovations from the celebrated singers. \""You made Ryan cry!\"" said Perry after Malea had finished singing the national anthem.Arman Tjandrawidjaja, Malea's father, told The Jakarta Post via email that Malea received a golden ticket, meaning that she could go to Hollywood  but in 2027. \""Because she has to be 15 years old [by June 1]to compete,\"" Arman said. As the time of writing, Malea's Idol audition had been liked by more than 2.000users on YouTube. The young singer reportedly caught Seacrest's attention due to her interview with David Muir from ABC World News following her StubHub Center Stadium performance. At that time Muir encouraged Seacrest to watch the show as there was a 7-year-old girl \""who is definitely an American Idol\"". Arman stated that Seacrest had watched the show and noticed Malea's video as well. \""He then contacted American Idol's producers to invite Malea for an audition,\"" Arman said, adding that Seacrest once interviewed her daughter on the On Air with Ryan Seacrest radio show back in September. Recently Seacrest shared his story about the audition alongside presenter Kelly Ripa on Live with Kelly and Ryan. \""She went full Christina Aguilera,\"" said Seacrest, recalling the audition. \""They [the judges] loved it;they thought it was very cute, but it was because David [Muir] said on the air.\"" Malea is scheduled to perform in several events until November, among them a Los Angeles Clippers game at the Staples Center in Los Angeles on Oct. 21, Skechers Pier to Pier Friendship Walk in Manhattan Beach on Oct. 28, SEMA Show Industry Awards Banquet in Las Vegas on Nov. 1 and a Los Angeles Lakers game at the Staples Center in Los Angeles on Nov. 25."
Šimić scores four as Persija thumps Johor Darul Tazim,"Persija's Croatian striker Marko Šimić scored a quartet of goals on Tuesday evening, as the Jakarta club comprehensively beat Malaysia's Johor Darul Tazim (JDT) in their group stage match of the 2018 Asian Football Confederation (AFC) Cup, the continent's secondary soccer club tournament. Šimić, the top-scorer so far in the tournament, produced his first goal in the seventh minute. He headed an assist from Riko Simanjuntak that could not be deflected by JDT goalkeeper Izham Tarmizi.  In the 12th minute, Rezaldi Hehanusa made a corner-kick assist that Šimić translated into a goal. After the second goal, JDT played rough. In the 14th minute Muhamad Nazmi Faiz bin Mansor booked a yellow card, followed by Adam Nor Azlin in the 16th minute.  However, Persija added another goal as Šimić headed a Ramdani Lestaluhu pass into Izham's net.  In the second half, JDT was more dominant compared to Persija and the match got even rougher. In the 78th minute JDT went down to 10 players as Adam received his second yellow card. Persija got a penalty after Riko was fouled in the box in the 84th minute and Šimić slotted in his fourth goal.  Over 60,000 spectators, including Jakarta Governor Anies Baswedan, packed the recently renovated Gelora Bung Karno stadium for the match, which Persija won 4-0."
