;title;body;category;sub_category;date;link
0;School accuses travel agency of fraud;Barunawati Vocational School in Tanjung Priok North Jakarta has reported travel agency PT Wisata Mandiri Travel to the police for alleged fraud Barunawatis headmaster Zainuddin accused the agency of taking Rp 1349 million US9718 of the schools money which was supposed to be used for a study tour to Yogyakarta They promised to pick us up on Thursday at 5 pm but they did not show up Zainuddin said as reported by Kompascom on Friday On that day 187 study tour participants comprising students teachers and the schools officials were ready to depart with their luggage They were later informed that the agency had been robbed and they lost the money the school had deposited We are upset because the agency only informed us on the day we were supposed to depart They requested us to reschedule he said Zainuddin said he had reported the agency to the Tanjung Priok District Police Office Zainuddin said the school was in the process of refunding the students Each student had paid Rp 12 million for the tour he said Separately Tanjung Priok Police chief Comr Supriyanto said his team had detained some of the travel agencys employees The suspects are charged under articles 372 and 378 of the Criminal Code on embezzlement and fraud which carries a maximum prison sentence of four years ami ;News;City;Sat, April 21, 2018 01:13 pm;http://www.thejakartapost.com/news/2018/04/21/school-accuses-travel-agency-of-fraud.html
1;Cuban leadership changes but thats all for now;Cubas president may no longer be named Castro but the communist system that Fidel and Raul cemented over the course of decades is not going anywhere at least not soon Raul Castro 86 and his new successor as president Miguel Diaz-Canel 57 will ensure that it survives even if more pro-market reforms are badly needed Indeed his relinquishing the presidency after 60 years of Castro rule while important is not expected to shake up Cuba in any major way at least over the short term In a historic changing of the guard on Thursday both the old president and the new one insisted the regime will live on with Castro retaining the key position of head of the all-powerful communist party until 2021 In his first speech as president Diaz-Canel a career party loyalist said Castro will still preside over decisions of major importance for the present and future of the nation There is no room for a transition that ignores the legacy of so many years of struggle said Diaz-Canel The Council of State the supreme executive body that he oversees got some new faces at Thursdays meeting of the National Assembly But some representatives of the old guard retained their seats They include Salvador Valdes Mesa 72 Leopoldo Cintra Frias 76 or Ramiro Valdes 85 So it is hard to imagine suddenly change and reform will occur at an accelerated pace said Peter Hakim of a Washington-based think tank called the Inter-American Dialogue If the communist system is here to stay for now changes in Cuba -- where people make an average of US30 a month -- are necessary and some are already in place Castro used his farewell speech to announce constitutional reforms to adapt the charter to political economic and social transformations that have taken place in Cuba These changes which could include the creation of the job of prime minister will be submitted to a referendum But Castro did not go into detail and he insisted in any case that Cuban socialism is irrevocable and the role of the communist party will not change Diaz-Canel is an electrical engineer by training and is no specialist in economics But his main task will be to press ahead with reforms that have introduced at least a taste of market-style economic life in a system where the state calls all the shots and people live on next to nothing These timid changes ushered in by Raul Castro must go even further to shore up an economy that is stagnant -- it grew only 16 percent in 2017 -- and heavily dependent on imports and aid from ally Venezuela which now has huge economic woes of its own The most urgent tasks are to unify the currency system -- Cuba has two kinds of peso -- and decentralize the economy and political system said Arturo Lopez-Levy a Cuba expert at the University of Texas Rio Grande Valley The hardest part will be to confront the political consequences of those reforms and the pressure these might trigger for yet another wave of change he added As to the dual-currency system unique in the world and a source of distortion in the economy Castro admittted it has given Cuban leaders serious headaches for years To those who think Cuba might follow the paths of former strictly communist countries like Vietnam or China Diaz-Canel warned there is no chance of capitalism being restored in Cuba This legislature will defend the revolution and work toward perfecting it he said It is not going to happen overnight Cuban political scientist Esteban Morales said of the idea of more reform As Cubans wait to see the makeup of the next cabinet of ministers a decision that has been put off until July many are watching for the kind of relationship that develops between Castro and Diaz-Canel For the first time in decades the president of the Council of State and the Council of Ministers will not also head the communist party Obviously Rauls behavior will be viewed closely but if he undermines Diaz-Canel that will be seen as Raul admitting having made the wrong choice And also suggest the very idea of a smooth transition was being challenged said Paul Webster Hare a professor of international relations at Boston University and former British ambassador to Cuba So Raul has invested a lot in Diaz-Canel and needs him to survive;News;World;Sat, April 21, 2018 09:00 am;http://www.thejakartapost.com/news/2018/04/20/cuban-leadership-changes-but-thats-all-for-now.html
2;Prabowo tells Gerindas rank and file to be patient ;Gerindra Party chairman Prabowo Subianto said he was ready to run for president in 2019 in a speech at his residence in Hambalang West Java on Wednesday but added that his presidential bid was dependent on support from other parties As long as I am able to fight and as long as I have the trust of the Gerindra Party I am ready to carry out whatever task is assigned by the Gerindra Party he said during the opening of the partys national coordination meeting according to a Gerindra politician who was present With all my energy body and soul if the Gerindra Party orders me to run in the upcoming presidential election I am ready to carry out that task he said to the applause of Gerindra members in attendance Please be patient I said if he said Let us wait until this meeting is over There is one condition I need the support of friendly parties A press release issued by Gerindra secretary-general Ahmad Muzani stated that the partys 34 provincial branches had officially declared Prabowo the partys presidential candidate However deputy secretary-general Andre Rosiade denied that any official decision had been made as of Wednesday afternoon The meeting is ongoing only 10 provincial branches have spoken he told The Jakarta Post Over the past few weeks Prabowo has seemed to hesitate over whether to run against President Joko Jokowi Widodo in the 2019 presidential election Gerindra has also appeared split on the matter with some members insisting on Prabowo while others seem open to other options The General Elections Commission KPU will open registration for presidential candidates in August ahw;News;Politics;Wed, April 11, 2018 04:26 pm;http://www.thejakartapost.com/news/2018/04/11/prabowo-tells-gerindas-rank-and-file-to-be-patient.html
3;110946 students make it to state universities;As many as 110946 students have made it into 85 different state universities across the archipelago through the entrance test for state universities SNMPTN this year The SNMPTN assesses students based on their report cards national examinations school performance and school performance index and does not involve any additional testing The results were announced on Tuesday evening via its official website and later on Wednesday morning in a national newspaper The students were selected by a committee out of 586155 applicants according to the chief organizer of the 2018 SNMPTN Ravik Karsidi Among the students 28069 were recipients of Bidikmisi a state-sponsored scholarship program that aims to support talented students facing financial difficulties The 110946 students filled up at least 30 percent of the total seats available in state universities he told The Jakarta Post on Wednesday The remaining seats in state universities will be available for students taking the Joint Entrance Test for State Universities SBMPTN slated for May 8 and independent admission entrance tests hosted by respective universities At least 14 million students graduated high school this year Following is the list of universities that accepted the most students from the SNMPTN University of Brawijaya East Java 3341 University of Haluoleo Southeast Sulawesi 3046 Diponegoro University Central Java 2929 Indonesia University of Education West Java 2563 Padang State University West Sumatra 2476 Hasanuddin University South Sulawesi 2466 Tadulako University Central Sulawesi 2374 Bandung Institute of Technology West Java 2359 Malang State University East Java 2356 University of Jember East Java 2325 dpkswd;News;National;Wed, April 18, 2018 05:16 pm;http://www.thejakartapost.com/news/2018/04/18/110946-students-make-it-to-state-universities.html
4;Weapons manufacturer Pindad diversifies businesses;State-owned weapons manufacturer PT Pindad is continuing to diversify its businesses with its latest plan to develop commercial defense entertainment and to construct hospitals and hotels on a 10-hectare plot of land in the West Java capital of Bandung We have a plan for a 10-ha plot of land that we own We want to develop a commercial military destination equipped with a commercial shooting area paint ball tank-riding entertainment among other things said Pindad president director Abraham Mose in Bandung on Tuesday as reported by kompascom He said the company would also construct a seven-story hospital and a hotel with between 200 and 300 rooms Abraham added that currently his company was still inviting investors to finance the projects although there was an offer from an investor to put Rp 20 billion US145 million into the project He said he was now also negotiating with the investor to get a better investment plan to ensure that it would be profitable for the company The project will be discussed in a shareholders meeting in July or August Apart from producing weapons as its core business Pindad is also developing its industry products unit for manufacturing equipment such as escalators generators and tractors bbn;News;Business;Wed, April 18, 2018 05:10 pm;http://www.thejakartapost.com/news/2018/04/18/weapons-manufacturer-pindad-diversifies-businesses.html
5;Military plane crashes near Algiers scores feared dead - media witness;An Algerian military plane crashed near an airport outside the capital Algiers killing several people on Wednesday local media and a witness said More than 100 military personnel were on board the plane when it came down near Boufarik airport local channel Ennahar TV reported There was no immediate confirmation from authorities Television footage showed black smoke billowing near a motorway and a crowd of security officials and others standing in a field next to the crash site The tail fin of a plane could be seen above olive trees with smoke and flames rising from the wreckage;News;World;Wed, April 11, 2018 04:23 pm;http://www.thejakartapost.com/news/2018/04/11/military-plane-crashes-near-algiers-scores-feared-dead---media-witness.html
6;Court grants PKPI petition to contest 2019 election;The Jakarta State Administrative Court PTUN Jakarta granted the Indonesian Justice and Unity Partys PKPI petition to contest the 2019 legislative election on Wednesday We declare KPUs General Elections Commission decision letter on the determination of political parties participating in the 2019 legislative election void presiding judge Nasrifal said as quoted by tribunnewscom The judge also ordered the KPU to issue a new letter naming the PKPI which is led by former spy chief AM Hendropriyono one of the political parties eligible to contest the 2019 election In February the KPU declared the PKPI ineligible to contest the election because it had failed to meet the proscribed membership criteria The party appealed the KPUs decision with the Elections Supervisory Agency Bawaslu and then petitioned the court when the appeal was rejected The ruling makes the PKPI the 16th party eligible to contest the election kmtahw;News;Politics;Wed, April 11, 2018 04:00 pm;http://www.thejakartapost.com/news/2018/04/11/court-grants-pkpi-petition-to-contest-2019-election.html
7;Former South Korean presidential hopeful indicted for rape;A former South Korean presidential contender was indicted Wednesday on charges of raping his aide multiple times in the highest-profile case of the countrys growing MeToo movement Ahn Hee-jung -- who was widely seen as a strong contender to replace President Moon Jae-in when his term ends in 2022 -- was formally charged with rape and sexual harassment by abuse of power a spokesman at the Seoul Western District Prosecutors Office said The spokesman said Ahns first hearing is expected next month Prosecutors opened an investigation into Ahn after his aide said in a television interview that he had raped her four times since she was hired last June Fighting back tears Kim Ji-eun who was Ahns personal assistant before becoming an aide in civil affairs said last month that she had been unable to reject her boss in the rigid hierarchy of her office The 54-year-old politician has since stepped down from his post as the governor of South Chungcheong province and issued a formal apology but has claimed the sex was consensual But detailed accounts from the victim as well as testimonies from witnesses provided evidence of Ahns crimes an official at the prosecutors office told Yonhap news agency A second woman had come forward shortly after Kims interview but prosecutors said her case will be excluded due to lack of evidence Ahn will not be physically detained as the court has denied the prosecutors demand for an arrest warrant It has been an astonishing fall from grace for Ahn who enjoyed huge popularity among young liberal voters thanks to his wholesome image and good looks Ahn came second to Moon in the contest for the ruling Democratic Partys presidential nomination last year and was seen as a favourite for the next elections Ahn threw his support behind the MeToo campaign against abuse of women in a public speech made just hours before Kim appeared on live TV to talk about the sex abuse she allegedly suffered at his hands Victims of sex abuse in patriarchal South Korea are reluctant to come forward due to fears of public shaming But Seo Ji-Hyeon a prosecutor in January made the rare move of appearing on live TV to talk about sex abuse by her superior Her interview opened a floodgate of similar revelations by women who accused figures including politicians actors and film directors;News;World;Wed, April 11, 2018 03:42 pm;http://www.thejakartapost.com/news/2018/04/11/former-south-korean-presidential-hopeful-indicted-for-rape.html
8;Indonesia tries to lift trade barriers in Africa;Trade Minister Enggartiasto Lukita held bilateral meetings withdelegates from Morocco Somalia and Nigeria on the sidelines of the Indonesia-Africa Forumon Tuesday in Nusa Dua Bali as part of the efforts to eliminate trade barriers The bilateral meetings are parts of the effort to increase Indonesian trade with African countries that this year isexpected to grow 11 percent said the minister as stated in a press statement received by The Jakarta Post on Wednesday Indonesian-African trade value was recorded at US884 billion in 2017 a 1525 percent increase compared to2016 One of the barriers totrade withAfrican countries is high tariffs because Indonesia has no trade agreements with them said Enggartiasto While meeting with Morocco Deputy Foreign Minister Mounia Boucetta Enggartiasto discussed the preferential tariff agreement PTA negotiationproposed by Indonesia During the meetingMorocco supported theproposal But before the PTA negotiation starts there willbe a meeting withexperts in June to discuss the idea Enggartiasto said adding that Indonesia would also send a trade mission to Morocco from June 27 to 28 With the Nigerian secretary of theMining and Steel Federal Ministry Abdulkadir Muazu Enggartiastosought confirmation about the Indonesian proposal to establish an Indonesia-Nigeria PTA and another PTA between Indonesia and the Economic Community of West African Statesof which Nigeria is a member Meanwhile Enggartiastosaid Somaliais a potential market but Indonesia could not yet establishdirect trade with the country because of security issues bbn;News;Business;Wed, April 11, 2018 03:40 pm;http://www.thejakartapost.com/news/2018/04/11/indonesia-tries-to-lift-trade-barriers-in-africa.html
9;Police vow to stamp out bootleg liquor by Ramadhan;Police have declared war on bootleg liquor after 51 people in West Java and another 31 in Greater Jakarta died from consuming unlicensed alcoholic beverages in the past two weeks NationalPolice deputychief Comr GenSyafruddin said the force would conduct operations against bootleg liquor across the country and stressed that the distribution of the harmful product had to be ended immediately If you count the number of victims from all over Indonesia I believe it could be 100 people  This is serious Too many have died Syarifuddin said He said that to solve the problem authorities had to eliminate the production of bootleg liquor Police had to get to the roots of the rampant use and distribution of the liquor and perpetrators should face maximum punishment I have given them a target to finish this problem this month There will be zero bootleg liquor in Indonesia There will be no more bootleg liquor this Ramadhan Syafruddin told journalists on Wednesday adding that he had coordinated the policy with regional police offices Police found thatthe bootleg liquor they had seized during the operationscontained 96 to 98 percent pure alcohol mixed with other substances like energy drinks syrup or carbonated drinks Police have arrested seven people for allegedly producing and distributing bootleg liquor in West Java and Greater Jakart Two other suspects are still on the run ebf;News;National;Wed, April 11, 2018 03:21 pm;http://www.thejakartapost.com/news/2018/04/11/police-vow-to-stamp-put-bootleg-liquor-by-ramadhan.html
10;Banten Police drop plan to summon scientist;The Banten Police have reportedlydropped their plan to summon coastal disaster expert Widjo Kongko in connection with a criminal investigation a colleague of the scientist has said The Banten Police chief has canceled the legal process Henny Warsilah a senior sociologist and earthquake mitigation expert at the Indonesian Institute ofSciences LIPI told The Jakarta Poston Tuesday evening Widjo a coastal engineer and disaster risk expert at the Agency for the Assessment and Application of Technology BPPT recently delivered a presentationas part of a discussion on Tsunami Potential that covered several coastal regions in southwestern Java Widjos presentation quickly became aviral controversy after detikcom a popular online news portal reported the assessment erroneously dubbing ita tsunami prediction Detikcomsreportwhich was originally published on Apr 3 under the heading BPPT PredictsPotential for 57-Meter High Tsunami in Pandeglang claimed that Widjo had predicted the potential disasterWidjo hadsaid in his presentation that the tsunami could only occur in what he referred to as the worst possible scenario Pandeglangis located on western coast of Javathe most populated island in the country and falls under the administration of Banten province Banten Police had previously planned to summonWidjo based on thedetikcom reportwhichhad triggered widespread public concernand apparently disrupted the provinces investment climate Henny said the police had asked the BPPT LIPI and the Meteorology Climatology and Geophysics AgencyBMKG to explain the matter to the public directly and were ready to facilitate theagencies efforts in educatingthe public Meanwhile detikcomhas since apologized for using the word prediction in both the heading and in reference to Widjos presentation in its misleading article based on a letter from the BPPT scientistThe news portal alsocorrected the figure of the potential tsunami to 571 meters ahw;News;National;Wed, April 11, 2018 03:20 pm;http://www.thejakartapost.com/news/2018/04/11/banten-police-drop-plan-to-summon-scientist.html
11;Sentul City to cut off our tap water supply Residents;Hundreds of residents of Sentul City residential compound in Bogor West Java claimed that the residential management had threatened to cut off the water supply to their houses until they paidtheir water bills The residents grouped under the Sentul City Residents Committee KWSC saidSentul Citys management had promised its customers to provide clean tap water because itclaimed to have its own water treatment facility  while apparently they wereonly distributing water from PDAM Tirta Kahuripan in Bogor regency They buy it at a reduced rate and sell it to the customers at a much higher price KWSC secretary Deni Erlianasaidon Tuesdaytempocoreports Deni went on to explain that Sentul City sold the water to the residents at Rp 9200 64 US cents per cubic meter while PDAM had its own rate for luxurious residency which was set at Rp 4900 per cubic meter The company knows that water is part of our basic needs hence they can easily threaten to cut of our water he added The residents had reported the matterto the National Commission onHuman Rightsand the Public Works andHousing Ministry Although our houses look luxurious many of us are middle-class people who wouldnt be able to afford water that expensive Deni said PT Sentul City Tbk spokesperson Alfian Mujani however saidthe company had conducted its business according to the Law No 41992 on housing and residency to ensure it can provide the best facilities to its customers We have met all the administrative requirements to conduct our own water treatmentbecause PDAM cant cover all of theresidents water needs Alfian said vla;News;City;Wed, April 11, 2018 03:09 pm;http://www.thejakartapost.com/news/2018/04/11/sentul-city-to-cut-off-our-tap-water-supply-residents.html
12;Chemotherapy prevents arrest of West Bandung regent by KPK;The Corruption Eradication Commission KPK says it has not yet arrested West Bandung regent Abu Bakar who is implicated in a graft case because he is undergoing chemotherapy A joint team of KPK investigators and police personnel were waiting for the regent to complete his chemotherapy session at Borromeus Hospital in Bandung West Java the antigraft body said in a statement on Wednesday Out of compassion our team has decided not to bring the regent to Jakarta last night Tuesday evening Therefore we asked the regent to sign a letter as the basis for conducting an initial questioning at his home KPK spokesman Febri Diansyah said in Jakarta He said the commission had called on all doctors currently handling Abu Bakars medical treatment to do their job professionally It also urged any parties not to obstruct its investigation into the graft case In the same case the KPK arrested six other government officials suspected of bribery on Tuesday Abu Bakar an Indonesian Democratic Party of Struggle PDI-P politician has served as the regent since 2008 and is currently in his second term in office after he was reelected in 2013 As of today the KPK has conducted eight operations across Indonesia to arrest state officials allegedly connected to graft cases The latest operation was on March 12 when KPK investigators arrested several officials of the Tangerang District Court including judge Wahyu Widya Nurfitri and clerk Tuti Atikah for alleged bribery related to a civil case ebf;News;Politics;Wed, April 11, 2018 02:55 pm;http://www.thejakartapost.com/news/2018/04/11/chemotherapy-prevents-arrest-of-west-bandung-regent-by-kpk.html
13;Oil lifting decline continues in first quarter;Indonesias oil lifting the colloquial term for ready-to-sell production fell by 66 percent to 750600 barrels of oil per day bopd throughout the first quarterbecause of anatural decline of reserves at various fields across the country Meanwhile gas lifting fell slightly by 008 percent to 113 million barrels of oil equivalent per day boepd within the first three months of this year Throughout 2017 Indonesias oil lifting decreased by 2 percent to 803847 bopd while gas lifting plummeted by 5 percent to 114 million boepd Commenting onthe downward trend in oil and gas lifting Amien Sunaryadi the head of the Upstream Oil and Gas Regulatory Special Task Force SKKMigas said it was crucial for the country to boost explorationto discover new petroleum reserves andsubsequentlyboost production in years to come Its very important for us to boost explorationbecause Indonesia has not been able to discover newpetroleum reserves on a large scalefor quite a long time Amien said recently In the first quarter realized investment in the upstream oil and gas sector reached US24 billion or 17 percent of the full-year target of 142 billion At the same time state revenues from the sector stood at 39 billion or 33 percent of the full-year target of 119 billion bbn;News;Business;Wed, April 11, 2018 02:45 pm;http://www.thejakartapost.com/news/2018/04/11/oil-lifting-decline-continues-in-first-quarter.html
14;Protectionism debt are world economys main threats EU;The biggest threats to global economic growth are government debt and protectionist leanings European Union economy commissioner Pierre Moscovici said underlining the challenges confronting finance chiefs at the International Monetary Fund meetings in Washington The two main risks for growth which is now very solid all over the world are on the one hand protectionism and trade tensions and on the other hand debt Moscovici said Friday in a Bloomberg Television interview in the UScapital There is no trade war for the time being so thats good The IMF warned this week that the worlds debt load has ballooned to a record US164 trillion a trend that could make it harder for countries to respond to the next recession Global public and private debt increased to 225 percent of worldwide economic output in 2016 the fund said on Wednesday in its semi-annual Fiscal Monitor report The Washington-based fund also warned this month that the global commercial order risked being torn apart by trade wars USPresident Donald Trump is pushing for a crackdown on what he considers unfair trade practices by China and has announced tariffs on imports of steel and aluminum The EU is seeking a permanent exemption from the metals levies after Trump granted a waiver to the bloc until May 1 and left open the possibility of a longer exclusion The European Commission the EUs executive branch in Brussels has said that failure to gain a longer exemption from the USmetal-import duties would lead to a tit-for-tat response by the bloc The global debt burden clouded the IMFs otherwise upbeat outlook of the world economy which is in its strongest upswing since 2011 The fund forecasts expansion of 39 percent in 2018 and 2019 For the medium term as always when you have a high debt and a high deficit you need to watch that to avoid imbalances Moscovici the EUs economic and financial affairs commissioner said in the interview with Tom Keene and Francine Lacqua And this is not only for Europe this is worldwide With the deficit in the US the largest economy there are short-term effects macro-economically long-term effects that we cannot really foresee and there are political effects Moscovici said For the short-term effects -- they are positive since the American growth is picking up and with a booming American economy its good for the rest of the world;News;Business;Sat, April 21, 2018 08:00 am;http://www.thejakartapost.com/news/2018/04/20/protectionism-debt-are-world-economys-main-threats-eu.html
15;Anies reasserts he will stop Jakarta Bay reclamation;Jakarta Governor Anies Baswedan has given assurances that development of reclaimed islands in Jakarta Bay will not continue as the multibillion-dollar project is not included in the 2018-2022 mid-term regional development plan RPJMD You can see clearly that the reclamation project is not included in the RPJMD It means that continuing the project is not a part of our plan Anies said after the City Council passed a bylaw on the 2018-2022 RPJMD on Tuesday The governor added that islets that had already been established would be used for the benefit of Jakartans He did not elaborate Anies and his deputy Sandiaga Uno pledged during their gubernatorial election campaign last year to stop the development of the controversial project claiming that it would cause environmental damage Previously Anies scrapped from the City Councils priority list the deliberations of two draft bylaws on the reclamation namely those on the Jakarta north coast strategic area spatial plan and the zoning plan on coastal areas and small islands;News;City;Wed, April 11, 2018 02:40 pm;http://www.thejakartapost.com/news/2018/04/11/anies-reasserts-he-will-stop-jakarta-bay-reclamation.html
